,Year,Make,Series,Score_Count,Score_Avg
0,2015,BMW,X3,607,-0.07001878088962109
68,2015,MINI,Paceman,39,-0.049753846153846155
64,2015,MINI,Countryman,445,-0.0788429213483146
60,2015,MINI,Coupe/Roadster,79,-0.11364936708860758
56,2015,MINI,Cooper,490,-0.05402693877551021
52,2015,BMW,i8,1,0.2023
48,2015,BMW,X1,521,-0.08130978886756236
44,2015,BMW,i3,2,0.26495
40,2015,BMW,2 Series,275,-0.05275418181818182
36,2015,BMW,Z4,57,-0.04812456140350877
28,2015,BMW,4 Series,401,-0.07684538653366584
24,2015,BMW,5 Series,351,-0.0604051282051282
20,2015,BMW,7 Series,111,-0.05955945945945946
16,2015,BMW,6 Series,158,-0.05497974683544304
32,2015,BMW,3 Series,424,-0.05909599056603773
4,2015,BMW,X4,220,-0.04628318181818183
12,2015,BMW,X5,532,-0.042321240601503766
8,2015,BMW,X6,134,-0.052728358208955224
5,2016,BMW,X4,135,-0.0008622222222222227
57,2016,MINI,Cooper,464,-0.03377090517241379
49,2016,BMW,X1,477,-0.033804402515723274
45,2016,BMW,i3,4,0.0
37,2016,BMW,Z4,22,-0.04613636363636364
9,2016,BMW,X6,98,-0.02820204081632653
65,2016,MINI,Countryman,259,-0.024441698841698844
29,2016,BMW,4 Series,360,-0.036665277777777776
41,2016,BMW,2 Series,300,-0.012483333333333334
33,2016,BMW,3 Series,393,-0.03285063613231552
13,2016,BMW,X5,324,-0.030853395061728392
25,2016,BMW,5 Series,382,-0.027837696335078536
17,2016,BMW,6 Series,52,-0.0710826923076923
1,2016,BMW,X3,360,-0.025476111111111113
69,2016,MINI,Paceman,8,-0.0924625
21,2016,BMW,7 Series,191,-0.0331696335078534
73,2016,MINI,Clubman,121,-0.01909090909090909
50,2017,BMW,X1,382,-0.04801178010471204
18,2017,BMW,6 Series,18,0.06534444444444444
6,2017,BMW,X4,71,0.031276056338028164
58,2017,MINI,Cooper,279,-0.07152078853046594
46,2017,BMW,i3,191,-0.1083675392670157
14,2017,BMW,X5,259,-0.08794903474903475
26,2017,BMW,5 Series,40,-0.129775
22,2017,BMW,7 Series,41,-0.04083414634146342
2,2017,BMW,X3,265,-0.06216792452830188
34,2017,BMW,3 Series,319,-0.0799601880877743
54,2017,BMW,i8,1,0.0
74,2017,MINI,Clubman,185,-0.06451459459459459
30,2017,BMW,4 Series,292,-0.06503321917808219
10,2017,BMW,X6,50,-0.08085600000000001
42,2017,BMW,2 Series,161,-0.04859130434782609
3,2018,BMW,X3,488,-0.07635573770491803
59,2018,MINI,Cooper,396,-0.06939343434343434
67,2018,MINI,Countryman,426,-0.04386901408450704
15,2018,BMW,X5,434,-0.05112281105990783
47,2018,BMW,i3,24,-0.08826250000000001
7,2018,BMW,X4,64,0.017734375000000004
43,2018,BMW,2 Series,247,-0.09439959514170039
35,2018,BMW,3 Series,397,-0.0384639798488665
31,2018,BMW,4 Series,324,-0.07176296296296296
27,2018,BMW,5 Series,395,-0.07570126582278482
11,2018,BMW,X6,73,-0.014932876712328761
23,2018,BMW,7 Series,70,-0.07334857142857143
19,2018,BMW,6 Series,34,-0.015376470588235295
51,2018,BMW,X1,398,-0.06509346733668342
75,2018,MINI,Clubman,62,-0.08888548387096776
