Age,Gender,Ethnicity,Major,stressful_moment,overcome_stress
22,Male,Asian,Electrical Engineer,When I wasn't understanding something for my one of my exams.,Took a short break and went back to working. 
20,Female,Asian,Biological Sciences ,Every afternoon after classes when i sit down to see what work I have to do,"Breathe, make tea"
21,Male,Asian,CIS/ Management ,I had to lead a discussion in one of my class classes so I was stressed prior and during that class bc I had to familiarize myself with the content ,Tried to do the related work
21,Female,Caucasian,Animal Veterinarian Science ,Physics Class,Studying
18,Female,Asian,Biochemistry,When i was the only one from my lab group who showed up to do the lab,"watch tv, listen to music, or rest"
20,Male,Asian,Computer Science ,Bombed the exam ,Nothing 
22,Male,Caucasian,Computer Information Systems,I had to demo a project for a class and I was stressed.,I try to not think about the problem and clear my mind.
18,Male,Caucasian,Bioengineering,I was late to my Chemistry Lab because my alarm did not go off,Communicated with my TA
20,Female,Asian,Accounting,"I felt stressed when I had an exam in less than 2 hours and I could not understand a section, which is going to be on the exam. ",I decided to get in contact with my classmate and have my classmate help me understand the concept. 
21,Male,Asian,Computer science ,Now ,Working on the cause of stress 
20,Female,Asian,Nursing,Medications Math Exam,Studied - forgot about it afterwards because there is nothing I can do about it now. 
21,Male,Asian,Biology,My test,Take it
19,Male,Caucasian,Computer Science,"During physics 2 lab. We had to do the pre-lab quiz, the entire lab, and the lab report with post lab questions in 3 hours. ",Did the work
19,Attack helicopter ,American ,Horticultural ,Not at all,Tea
19,Platypus,Caucasian,Computer Science,Time Crunch,Ignored it
21,Female,Caucasian,Computer Science,When I almost didn't get a project in on time.,I turned it in on time.
21,Male,Asian,Electrical Engineering ,When work load keeps adding up,Take 5 mins of break and think about it 
19,Male,Caucasian,Biological Sciences,Studying for my quiz today,Taking a break every once in a while
21,Male,Asian,Computer Engineering,Before my exam,Deep breaths to relax
20,Male,Asian,Electrical Engineering ,When I almost forgot to submit my lab report on time. ,I realized it’s due next week. 
20,Male,Asian,Biochemistry,Class,Netflix
21,Male,Asian,Bioengineering,I stayed up all night doing a project for my senior design class and got zero sleep.,"I am mentally capable of pushing through the stress, but I plan on getting a lot of sleep to deal with it."
23,Male,Asian,Medical Student,I was stressed out when my lab partner and I realized that we don’t have enough time to complete lab.,I am going to the lab later tonight to finish the lab.
21,Male,Asian,Computer Engineering,Test coming in couple days,Divert my mind for some time by watching tv and playing game.
20,Female,Indian,Biological Sciences,When I don't get enough sleep,"Deep breaths, meditate, and lots of coffee"
24,Female,Caucasian and African American,Doctorate of Veterinary Medicine,Class,Went to the pool
20,Male,Caucasian,Computer science,Doing homework and looking at my incredibly full calendar,Just sitting down and knocking out assignments
19,Female,American Indian,Bioengineering ,When I had to walk to class and be on time for the iclicker check that happens at the beginning ,Walked faster 
18,Female,Asian,Economics/Management ,More assignments kept piling on as I went through my classes ,I plan on making a plan to get them done. 
